,Subject no.,scores_train,scores_test,,
0,1,0.854554865,0.604347826,,
1,2,0.862008282,0.572463768,,8.517391304
2,3,0.862836439,0.602898551,,
3,4,0.860144928,0.560869565,,
4,5,0.857246377,0.549275362,,
5,6,0.865942029,0.575362319,,
6,7,0.864803313,0.550724638,,
7,8,0.857763975,0.550724638,,
8,9,0.858178054,0.560869565,,
9,10,0.862318841,0.614492754,,
10,11,0.856728778,0.530434783,,
11,12,0.860455487,0.566666667,,
12,13,0.858799172,0.552173913,,
13,14,0.869875776,0.568115942,,
14,15,0.860869565,0.557971014,,
